欧米,おうべい
遂行,すいこう
郊外,こうがい
促進,そくしん
鍛錬,たんれん
放浪,ほうろう
犠牲,ぎせい
移籍,いせき
古墳,こふん
衰退,すいたい
花壇,かだん
模倣,もほう
請願,せいがん
阻害,そがい
逮捕,たいほ
窒息,ちっそく
塗料,とりょう
陶芸,とうげい
殺伐,さつばつ
排斥,はいせき
娯楽,ごらく
顧問,こもん
喫煙,きつえん
不審,ふしん
敢行,かんこう
挙措,きょそ
分泌,ぶんぴつ
蛮行,ばんこう
赴任,ふにん
応募,おうぼ
翻訳,ほんやく
墨守,ぼくしゅ
滅多,めった
憂色,ゆうしょく
抑止,よくし
誘導,ゆうどう
隆盛,りゅうせい
零細,れいさい
精励,せいれい
覆水,ふくすい
縫製,ほうせい
共謀,きょうぼう
折半,せっぱん
濫伐,らんばつ
随意,ずいい
擦過傷,さっかしょう
邪道,じゃどう
辛抱,しんぼう
争奪,そうだつ
画壇,がだん
欠乏,けつぼう
誘致,ゆうち
免税,めんぜい
憂慮,ゆうりょ
狩猟,しゅりょう
撮要,さつよう
拘束,こうそく
坑道,こうどう
掘削,くっさく
繁華街,はんかがい
虚,きょ
少憩,しょうけい
勤倹,きんけん
発酵,はっこう
相克,そうこく
主催,しゅさい
多湿,たしつ
掃討,そうとう
雪辱,せつじょく
紫紺,しこん
浸す,ひたす
交錯,こうさく
連携,れんけい
随時,ずいじ
概要,がいよう
吉報,きっぽう
装丁,そうてい
炉端,ろばた
埋没,まいぼつ
昇給,しょうきゅう
掌握,しょうあく
暖房,だんぼう
辱知,じょくち
敢行,かんこう
粗大,そだい
食糧,しょくりょう
交換,こうかん
伸張,しんちょう
丘陵,きゅうりょう
賢い,かしこい
巧み,たくみ
卸値,おろしね
穏便,おんびん
既成,きせい
契機,けいき
喚起,かんき
捕鯨,ほげい
軌道,きどう
待遇,たいぐう
餓死,がし
哀れ,あわれ
朗詠,ろうえい
覚悟,かくご
脅威,きょうい
求刑,きゅうけい
閲覧,えつらん
悔恨,かいこん
岳父,がくふ
一騎打ち,いっきうち
佳境,かきょう
棋士,きし
緩和,かんわ
岐路,きろ
偶然,ぐうぜん
凝縮,ぎょうしゅく
孤立,こりつ
該博,がいはく
緊迫,きんぱく
怪談,かいだん
弧,こ
菊,きく
潤滑,じゅんかつ
肝心,かんじん
企画,きかく
慰める,なぐさめる
収穫,しゅうかく
甲乙,こうおつ
花嫁,はなよめ
峡谷,きょうこく
殴られ,なぐられ
塊,かたまり
勘,かん
輪郭,りんかく
炎,ほのお
栄冠,えいかん
雇って,やとって
幻,まぼろし
感慨,かんがい
放棄,ほうき
ご満悦,ごまんえつ
一斤,いっきん
鶏,にわとり
残虐,ざんぎゃく
祝宴,しゅくえん
貫通,かんつう
忌引き,きびき
鼻孔,びこう
欺く,あざむく
架空,かくう
摂理,せつり
穂先,ほさき
隔たり,へだたり
鐘,かね
徐行,じょこう
冗談,じょうだん
闘魂,とうこん
桑,くわ
地獄,じごく
慈善,じぜん
陶酔,とうすい
長寿,ちょうじゅ
礎石,そせき
負債,ふさい
開墾,かいこん
疾走,しっそう
数隻,すうせき
控えて,ひかえて
結晶,けっしょう
嬢,じょう
福祉,ふくし
容赦,ようしゃ
慌ただしく,あわただしく
譲歩,じょうほ
突如,とつじょ
抜粋,ばっすい
双眼鏡,そうがんきょう
施設,しせつ
潜入,せんにゅう
師匠,ししょう
浅瀬,あさせ
特殊,とくしゅ
哀切,あいせつ
侍,さむらい
遵守,じゅんしゅ
絞って,しぼって
衝突,しょうとつ
神髄,しんずい
諮問,しもん
委嘱,いしょく
婿,むこ
搾る,しぼる
綱渡り,つなわたり
錠剤,じょうざい
雑炊,ぞうすい
暫定,ざんてい
焦点,しょうてん
基軸,きじく
繕う,つくろう
潤沢,じゅんたく
葬儀,そうぎ
大胆,だいたん
墜落,ついらく
哲学,てつがく
凍結,とうけつ
天然痘,てんねんとう
穏やか,おだやか
金塊,きんかい
潤い,うるおい
訪欧,ほうおう
遭難,そうなん
屈託,くったく
幼稚,ようち
畜産,ちくさん
帝国,ていこく
改訂,かいてい
肝試し,きもだめし
悟った,さとった
侍従,じじゅう
餓鬼,がき
忌避,きひ
海賊,かいぞく
締結,ていけつ
聴衆,ちょうしゅう
促す,うながす
胎児,たいじ
鍛えて,きたえて
停滞,ていたい
鋳造,ちゅうぞう
炊いて,たいて
陳謝,ちんしゃ
闘鶏,とうけい
足袋,たび
常駐,じょうちゅう
詠ずる,えいずる
愛憎,あいぞう
匿名,とくめい
下請け,したうけ
選択,せんたく
悔しい,くやしい
既,すで
彫金,ちょうきん
抽出,ちゅうしゅつ
超越,ちょうえつ
賢明,けんめい
承諾,しょうだく
勘違い,かんちがい
北斗,ほくと
怠慢,たいまん
撮る,とる
密封,みっぷう
滝,たき
同胞,どうほう
危篤,きとく
顧みる,かえりみる
粘着,ねんちゃく
怪しい,あやしい
寿,ことぶき
束縛,そくばく
純粋,じゅんすい
苗木,なえぎ
姫君,ひめぎみ
湖畔,こはん
糖尿病,とうにょうびょう
凝らす,こらす
修繕,しゅうぜん
企てる,くわだてる
概略,がいりゃく
本邦,ほんぽう
敬慕,けいぼ
藩主,はんしゅ
口内炎,こうないえん
紛争,ふんそう
陪審,ばいしん
相伴,しょうばん
重鎮,じゅうちん
鯨,くじら
該当,がいとう
滑り,すべり
帆柱,ほばしら
名簿,めいぼ
奪われ,うばわれ
難癖,なんくせ
赴く,おもむく
怪物,かいぶつ
切符,きっぷ
催す,もよおす
潜伏,せんぷく
豚肉,ぶたにく
漂着,ひょうちゃく
記念碑,きねんひ
遂げる,とげる
卑屈,ひくつ
精巧,せいこう
豊潤,ほうじゅん
老婆心,ろうばしん
覆う,おおう
卓越,たくえつ
奉納,ほうのう
芳香,ほうこう
崩壊,ほうかい
励まして,はげまして
妨害,ぼうがい
絞めて,しめて
官吏,かんり
華やか,はなやか
破裂,はれつ
擦り,すり
誘われ,さそわれ
厘,りん
鐘楼,しょうろう
嫁いで,とついで
廉価,れんか
邪魔,じゃま
募る,つのる
動揺,どうよう
削る,けずる
某,ぼう
乏しい,とぼしい
警鐘,けいしょう
湾曲,わんきょく
間隔,かんかく
幽霊,ゆうれい
擁護,ようご
緩やか,ゆるやか
令嬢,れいじょう
角膜,かくまく
幻滅,げんめつ
施す,ほどこす
殊更,ことさら
魅力,みりょく
漏電,ろうでん
縫い,ぬい
液晶,えきしょう
飽食,ほうしょく
慌てる,あわてる
又聞き,またぎき
墨,すみ
大綱,たいこう
慰留,いりゅう
諮る,はかる
抑揚,よくよう
恐悦,きょうえつ
裸眼,らがん
房,ふさ
粋,いき
膨大,ぼうだい
酔って,よって
憂い,うれい
廊下,ろうか
将棋,しょうぎ
架ける,かける
凍える,こごえる
心憎い,こころにくい
換える,かえる
恩赦,おんしゃ
炭鉱,たんこう
雇用,こよう
落胆,らくたん
主軸,しゅじく
犠打,ぎだ
凝視,ぎょうし
軌跡,きせき
疾風,しっぷう
締めて,しめて
胃袋,いぶくろ
佳作,かさく
胎動,たいどう
気炎,きえん
緊張,きんちょう
肝要,かんよう
虐待,ぎゃくたい
校閲,こうえつ
焦燥,しょうそう
鋳る,いる
滞る,とどこおる
名匠,めいしょう
怠った,おこたった
稲穂,いなほ
互譲,ごじょう
衰弱,すいじゃく
一貫,いっかん
偶像,ぐうぞう
円滑,えんかつ
掛かり,がかり
手錠,てじょう
骨髄,こつずい
換気,かんき
変哲,へんてつ
撮影,さつえい
外郭,がいかく
隔絶,かくぜつ
霊峰,れいほう
基礎,きそ
甲,こう
彫り,ほり
一掃,いっそう
掲載,けいさい
措置,そち
欠如,けつじょ
陵墓,りょうぼ
実施,じっし
破棄,はき
悔やんで,くやんで
孤島,ことう
憩い,いこい
免除,めんじょ
慈悲,じひ
潜在,せんざい
工房,こうぼう
無謀,むぼう
冗漫,じょうまん
開催,かいさい
耐乏,たいぼう
拘置所,こうちしょ
墳墓,ふんぼ
不吉,ふきつ
浪費,ろうひ
弧状,こじょう
契約,けいやく
窒素,ちっそ
克服,こくふく
精錬,せいれん
濃紺,のうこん
募集,ぼしゅう
痛恨,つうこん
殊勝,しゅしょう
豪華,ごうか
衝撃,しょうげき
強奪,ごうだつ
山岳,さんがく
添削,てんさく
悔悟,かいご
慰安,いあん
不穏,ふおん
倹約,けんやく
刑期,けいき
嘱託,しょくたく
審議,しんぎ
除籍,じょせき
錯乱,さくらん
債権,さいけん
携わる,たずさわる
野蛮,やばん
卸す,おろす
水墨画,すいぼくが
催促,さいそく
激励,げきれい
掌中,しょうちゅう
暫時,ざんじ
縫合,ほうごう
近郊,きんこう
隆起,りゅうき
昇進,しょうしん
零落,れいらく
屈伸,くっしん
満喫,まんきつ
原子炉,げんしろ
花婿,はなむこ
慨嘆,がいたん
精粗,せいそ
険阻,けんそ
申請,しんせい
宴席,えんせき
既知,きち
墾田,こんでん
翻意,ほんい
団塊,だんかい
海峡,かいきょう
邪魔,じゃま
塗装,とそう
酵素,こうそ
商魂,しょうこん
濫用,らんよう
喚問,かんもん
摂取,せっしゅ
騎手,きしゅ
覆面,ふくめん
猟師,りょうし
辛勝,しんしょう
処遇,しょぐう
没頭,ぼっとう
投獄,とうごく
稚魚,ちぎょ
湿原,しつげん
盗賊,とうぞく
瀬踏み,せぶみ
抽象,ちゅうしょう
緩急,かんきゅう
卓抜,たくばつ
遭遇,そうぐう
駐車,ちゅうしゃ
完了,かんりょう
超人,ちょうじん
冷凍,れいとう
弱冠,じゃっかん
虚勢,きょせい
双方,そうほう
種痘,しゅとう
多岐,たき
埋葬,まいそう
通気孔,つうきこう
鎮痛剤,ちんつうざい
因縁,いんねん
滞在,たいざい
伐採,ばっさい
養豚,ようとん
完封,かんぷう
克明,こくめい
揺れ,ゆれ
裸,はだか
邦人,ほうじん
徐々,じょじょ
細胞,さいぼう
採択,さいたく
魅惑,みわく
邦画,ほうが
粘り,ねばり
膨らませる,ふくらませる
零度,れいど
又,また
帳簿,ちょうぼ
中堅,ちゅうけん
老婆,ろうば
委託,いたく
排他,はいた
傾聴,けいちょう
彫刻,ちょうこく
妨げる,さまたげる
縛り,しばり
飽き,あき
快諾,かいだく
家畜,かちく
脅され,おどされ
擁立,ようりつ
漂泊,ひょうはく
参謀,さんぼう
崩落,ほうらく
出帆,しゅっぱん
子豚,こぶた
崩れた,くずれた
陳腐,ちんぷ
雪崩,なだれ
封鎖,ふうさ
歌姫,うたひめ
彩色,さいしき
内紛,ないふん
網膜,もうまく
寝癖,ねぐせ
決裂,けつれつ
画廊,がろう
魔法,まほう
奉仕,ほうし
失墜,しっつい
飽和,ほうわ
慕われ,したわれ
錯覚,さっかく
転覆,てんぷく
隻眼,せきがん
了承,りょうしょう
河畔,かはん
伏線,ふくせん
訂正,ていせい
恋慕,れんぼ
潔癖,けっぺき
楼閣,ろうかく
掲げ,かかげ
赤裸々,せきらら
驚く,おどろく
魅了,みりょう
篤志家,とくしか
排除,はいじょ
符号,ふごう
清廉,せいれん
厘毛,りんもう
邪推,じゃすい
漏れる,もれる
勇敢,ゆうかん
紛れて,まぎれて
同伴,どうはん
帆船,はんせん
藩校,はんこう
漂って,ただよって
滅んで,ほろんで
隠匿,いんとく
某,ぼう
収監,しゅうかん
石碑,せきひ
疾駆,しっく
伏兵,ふくへい
粘土,ねんど
苗床,なえどこ
卑劣,ひれつ
皇帝,こうてい
検尿,けんにょう
伴う,ともなう
悲哀,ひあい
追随,ついずい
幽谷,ゆうこく
膨張,ぼうちょう
